Name,Code for scientific name and authority in lookup table,Plot number,National Forest or other area,Latitude (decimal degrees),Longitude (decimal degrees),Wilderness Area,Region,Year of tissue collection,Chromium (ppm dw),Copper (ppm dw),Managanese (ppm dw),Nitrogen (% dw),Phosphorous (ppm dw),Potassium (ppm dw),Sulfur (% dw),Elevation (ft),Air pollution score,Taxonomic authority,Common name,AQ Rating,codename,sci_name
,rice1.09,,,,,,6.0,2004.0,,,,,,,0.103,,,,,,,
Letharia vulpina,letvul,1072220,Deschutes National Forest,43.61,-120.92,,6.0,1997.0,0.96,2.12,41.84,0.757,604.1,2090.0,0.064,5500.0,-0.581,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Bryoria fremontii,bryfre,SelBit25,Clearwater National Forest,46.44,-114.712,,14.0,1994.0,,3.4,124.0,,,5030.0,0.092,6300.0,,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
Platismatia glauca,plagla,1194176,Gifford Pinchot National Forest,46.63,-121.6,,6.0,2004.0,1.28,3.146,222.01,0.524,805.73,1924.5,0.061,2200.0,-0.316,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Bryoria fremontii,bryfre,Starkey5,Wallowa-Whitman National Forest,45.23,-118.508,,6.0,1998.0,0.54,17.86,32.72,1.08,1152.0,3155.0,0.072,4020.0,0.028,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
,evepru,MillerIs,Columbia River Gorge National Scenic Area,45.645,-120.916,,6.0,1998.0,2.38,3.96,46.72,0.88,719.3,2151.0,0.097,200.0,,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
Letharia vulpina,letvul,Lincton1,Umatilla National Forest,45.813,-118.173,,6.0,2008.0,0.983,1.577,130.78,0.856,1393.6,3457.5,0.047,4100.0,0.75,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,flacap,LocustSpring147,Monongahela National Forest,38.583,-79.626,,89.0,1995.0,,,,0.9,,,0.13,3822.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Letharia vulpina,letvul,1030196,Fremont-Winema National Forests,42.59,-121.36,,6.0,2010.0,0.984,1.828,66.205,1.08,499.4,2158.9,0.09,4800.0,-0.543,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,2197164,Gifford Pinchot National Forest,46.7,-121.81,,6.0,1999.0,0.992,3.546,50.906,0.527,877.79,2489.3,0.08,2500.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,flacap,StMarys109,George Washington and Jefferson National Forest,37.945,-79.06,,89.0,1995.0,,,,1.4,,,0.16,3237.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Platismatia glauca,plagla,1160152,Gifford Pinchot National Forest,45.8,-122.04,,6.0,1996.0,1.04,3.94,130.1,0.54,605.0,1961.0,0.06,2800.0,0.023,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,alesarmth,,,,,,6.0,1997.0,0.88,1.48,94.62,0.395,438.8,1573.0,0.039,,,,,,,
Letharia vulpina,letvul,NCL-1,Deschutes National Forest,43.712,-121.275,,6.0,1994.0,0.8,1.3,238.2,0.35,400.0,1829.0,0.04,6350.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Letharia vulpina,letvul,1020244,Fremont-Winema National Forests,42.32,-120.57,,6.0,2003.0,0.761,2.063,92.27,1.17,476.69,2040.9,0.07,6100.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,parstu,PineyRidgeA,George Washington and Jefferson National Forest,37.581,-79.454,James River Face Wilderness,89.0,1987.0,,,,,,,0.17,1808.0,,(Taylor) Hale,Eyelash lichen,,,
,usnsubf,Bridgr21,Bridger-Teton National Forest,42.703,-109.251,Bridger Wilderness,14.0,1998.0,1,3.0,52.0,,670.0,3600.0,0.076,9375.0,,,,,,
Platismatia glauca,plagla,1060124,Umpqua National Forest,43.34,-122.55,Boulder Creek Wilderness,6.0,2009.0,1.074,2.305,114.87,0.681,519.56,1656.6,0.047,4000.0,-0.587,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,claran,TNF069A,Tongass N.F.,59.485,-139.134,,10.0,1990.0,1.4,1.0,19.0,,223.0,912.0,0.025,23.0,-0.706,(L.) Nyl.,Reindeer lichen,sensitive,,
,hylspl,1150152,Columbia River Gorge National Scenic Area,45.55,-122.05,Mark O. Hatfield Wilderness,6.0,1995.0,0.8,5.2,216.2,,1677.0,5376.0,,2900.0,-0.425,,,,hylspl,Hylocomium splendens
Hypogymnia inactiva,hypina,1138148,Mt. Hood National Forest,45.25,-122.12,,6.0,1995.0,1.8,6.2,403.4,0.49,1279.0,2908.0,0.089,2700.0,-0.096,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Hypogymnia inactiva,hypina,HJA310,Willamette National Forest,44.231,-122.26,,6.0,2000.0,1.2,5.2,580.62,0.41,1377.66,2870.0,0.054,2450.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,necdou,IronMtn,Portland,45.435,-122.677,,6.0,1996.0,4.4,7.23,69.42,1.54,2490.0,6754.0,0.151,260.0,0.73,,,,necdou,Neckera douglasii
Platismatia glauca,plagla,1266200,Mt Baker-Snoqualmie National Forest,,,Glacier Peak Wilderness,6.0,2012.0,0.73,2.49,398.05,0.44,719.22,1956.7,0.04,,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,letcol,4311874,BLM Public Domain Land,43.8,-118.47,,6.0,2003.0,1.445,2.323,30.279,1.61,1162.2,2890.5,0.11,,,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
Alectoria sarmentosa,alesar,1088140,Willamette National Forest,44.02,-122.28,,6.0,1996.0,0.36,1.74,146.3,0.31,553.0,1623.0,0.039,3800.0,-0.034,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,OD-3,Siuslaw National Forest,43.585,-124.185,,6.0,2005.0,0.28,1.313,48.088,0.319,822.38,2722.7,0.032,50.0,-0.754,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
shrubby Usnea,usnea,1138064,Siuslaw National Forest,45.26,-123.59,,6.0,1995.0,0.5,2.7,18.7,0.51,481.0,2482.0,0.057,700.0,-0.095,,Beard lichen,,,shrubby Usnea
Sphaerophorus globosus,sphglo,1094052,Siuslaw National Forest,44.17,-123.78,,6.0,2005.0,,,,0.45,,,,1100.0,-0.963,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
Letharia vulpina,letvul,1094168,Willamette National Forest,44.17,-121.79,Three Sisters Wilderness,6.0,2005.0,0.362,0.989,183.26,0.394,417.56,2126.2,0.052,7200.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Hypogymnia imshaugii,hypims,1028228,Fremont-Winema National Forests,42.53,-120.83,Gearhart Mountain Wilderness,6.0,2003.0,2.051,4.022,494.61,0.87,875.13,2093.7,0.08,7000.0,,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
Hypogymnia imshaugii,hypims,1108172,Deschutes National Forest,44.51,-121.72,,6.0,1994.0,1.6,3.2,275.5,0.57,1101.0,2686.0,0.062,3300.0,0.134,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
,peach1547,,,,,,6.0,2006.0,,,,,,,0.161,,,,,,,
Alectoria sarmentosa,alesar,1172184B,Gifford Pinchot National Forest,46.08,-121.47,,6.0,1996.0,0.66,1.34,38.88,0.3,621.0,1821.0,0.02,3700.0,-0.453,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,CHUG07,Chugach N.F.,60.502,-147.647,,10.0,1993.0,0.53,1.6,62.17,,755.28,1667.7,0.03,15.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,crm482,,,,,,6.0,2004.0,2.943,6.765,28.975,,625.9,3297.8,,,,,,,,
Letharia vulpina,letvul,1144188,Mt. Hood National Forest,45.39,-121.42,,6.0,1995.0,0.5,1.4,215.4,,722.0,2612.0,,3600.0,0.021,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,1192164,Gifford Pinchot National Forest,46.58,-121.81,,6.0,2004.0,0.599,2.485,168.05,0.462,944.38,1983.4,0.044,3700.0,-0.239,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,BRun512,Mt. Hood National Forest,45.474,-122.206,,6.0,2000.0,1.22,3.049,151.96,0.445,587.29,1806.9,0.061,1275.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1060156,Umpqua National Forest,43.33,-122.01,,6.0,2000.0,0.52,0.822,188.02,0.343,262.3,1177.9,0.2,5700.0,-0.025,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,alesarwil,,,,,,6.0,2006.0,,,,,,,0.032,,,,,,,
Platismatia glauca,plagla,1112164,Willamette National Forest,44.56,-121.86,Mount Jefferson Wilderness,6.0,1996.0,1.68,4.38,401.7,0.41,756.0,1496.0,0.045,4600.0,-0.349,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1174164,Gifford Pinchot National Forest,46.14,-121.82,,6.0,2005.0,,,,0.552,,,,2400.0,-0.444,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Sphaerophorus globosus,sphglo,1118160,Willamette National Forest,44.76,-121.92,,6.0,2005.0,0.473,1.75,99.19,0.296,679.43,1948.1,0.025,2600.0,-0.401,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
,hypphy,IsabellaB,Superior National Forest,47.811,-91.318,Boundary Waters Canoe Area Wilderness,89.0,1992.0,0.9,5.1,78.7,,673.0,2587.0,0.075,1580.0,,(L.) Nyl.,Tube lichen,most tolerant,,
,pine1575,,,,,,6.0,1997.0,,,,,,,0.2,,,,,,,
Alectoria sarmentosa,alesar,1166176,Gifford Pinchot National Forest,45.94,-121.62,,6.0,1996.0,0.36,1.84,340.6,0.62,447.0,1909.0,0.067,2700.0,-0.096,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,pine1575,,,,,,6.0,2003.0,,,,1.19,,,,,,,,,,
Hypogymnia inactiva,hypina,CRG53B,Columbia River Gorge National Scenic Area,45.757,-121.486,,6.0,1998.0,1.94,5.26,137.3,0.797,1942.0,4539.0,0.1,1350.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Platismatia glauca,plagla,1024144,Fremont-Winema National Forests,42.45,-122.23,Sky Lakes Wilderness,6.0,2007.0,0.788,2.254,208.78,0.486,783.28,1880.5,0.045,5500.0,-0.228,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,1080220,Deschutes National Forest,43.81,-120.92,,6.0,2005.0,0.697,4.153,69.454,0.862,611.14,2838.5,0.117,5500.0,0.374,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Hypogymnia imshaugii,hypims,1242092,Olympic National Forest,47.82,-123.1,Buckhorn Wilderness,6.0,2007.0,0.719,4.593,187.02,0.634,1281.5,2998.3,0.078,5700.0,-0.168,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
,flacap,Monong033A,Monongahela National Forest,39.012,-79.663,Otter Creek Wilderness,89.0,1987.0,1.842,10.21,46.77,,484.4,2228.0,0.089,3581.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Alectoria sarmentosa,alesar,1140180,Mt. Hood National Forest,45.3,-121.56,Badger Creek Wilderness,6.0,1995.0,0.9,1.4,177.7,0.28,483.0,1501.0,0.068,5000.0,-0.554,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,pine1575,,,,,,6.0,1997.0,,,,,,,0.204,,,,,,,
Hypogymnia imshaugii,hypims,1146184,Mt. Hood National Forest,45.44,-121.49,,6.0,1996.0,2.3,4.04,129.3,0.61,1265.0,2754.0,0.073,3800.0,0.171,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
Platismatia glauca,plagla,Pack510,Pack Experimental Forest,46.854,-122.307,,6.0,2000.0,1.535,4.101,75.97,,848.07,2759.9,,770.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,xancum,ARM102,Columbia River Gorge National Scenic Area,45.706,-121.277,,6.0,1994.0,14.4,18.3,327.8,1.14,1185.0,2578.0,0.099,200.0,,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
Sphaerophorus globosus,sphglo,1096040,Siuslaw National Forest,44.22,-123.99,,6.0,2005.0,0.363,1.219,41.643,0.312,681.26,1657.1,0.033,1500.0,-0.492,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
Alectoria sarmentosa,alesar,1052120,Umpqua National Forest,43.14,-122.62,,6.0,2010.0,0.905,0.756,259.4,0.623,645.21,2084.6,0.038,4200.0,-0.663,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,1160152,Gifford Pinchot National Forest,45.8,-122.04,,6.0,2005.0,0.28,0.957,112.37,0.337,215.34,1433.0,0.044,2800.0,0.023,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,1188160,Gifford Pinchot National Forest,46.48,-121.89,,6.0,1994.0,2.2,13.9,93.7,0.46,961.0,2308.0,0.07,3000.0,-0.44,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,1076168,Deschutes National Forest,43.72,-121.8,,6.0,2005.0,0.305,3.376,430.5,0.55,952.49,2722.7,0.068,4700.0,-0.235,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,Pack121,Pack Experimental Forest,46.83,-122.286,,6.0,1999.0,2.793,4.242,77.282,0.674,842.3,2635.2,0.1,1890.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,TNF101B,Tongass N.F.,57.63,-136.214,West Chichagof-Yakobi Wilderness,10.0,2004.0,0.28,0.52,3.967,0.338,162.44,909.4,0.043,15.0,-0.763,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1034168,Fremont-Winema National Forests,42.69,-121.82,,6.0,2010.0,0.59,1.529,80.584,,501.9,2393.5,0.071,4600.0,-0.408,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Hypogymnia enteromorpha,hypent,1228056-N,Olympic National Forest,47.479,-123.756,Colonel Bob Wilderness,6.0,2007.0,0.33,4.065,269.47,0.668,1025.6,2860.1,0.046,,-0.844,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
,pine1575,,,,,,6.0,1994.0,1.9,2.7,691.3,1.18,1158.0,3491.0,0.118,,,,,,,
Sphaerophorus globosus,sphglo,CRG521,Columbia River Gorge National Scenic Area,45.642,-121.904,Mark O. Hatfield Wilderness,6.0,2003.0,3.192,3.416,39.604,0.88,620.25,2139.8,0.06,1250.0,0.142,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
,blank,,,,,,10.0,2005.0,0.28,0.34,0.06,-0.003,7.4,13.881,,,,,,,,
Bryoria fremontii,bryfre,MonRockW,Malheur National Forest,44.319,-118.367,Monument Rock Wilderness,6.0,2011.0,0.36,1.95,73.69,1.09,631.99,2524.0,0.066,6446.0,-0.423,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
Alectoria sarmentosa,alesar,1068136,Willamette National Forest,43.53,-122.35,,6.0,1997.0,0.3,4.6,222.1,0.322,318.5,1448.0,0.041,4400.0,-0.077,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Lobaria oregana,lobore,OD-10,Siuslaw National Forest,43.748,-124.177,,6.0,1995.0,1,6.6,24.1,1.66,1335.0,5400.0,0.151,,-0.492,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Hypogymnia inactiva,hypina,1160152,Gifford Pinchot National Forest,45.8,-122.04,,6.0,1996.0,1.92,5.12,223.8,0.73,831.0,2965.0,0.083,2800.0,0.023,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Letharia vulpina,letvul,BonFer1,Idaho Panhandle National Forests,48.611,-116.257,,6.0,2008.0,0.7,1.477,59.525,1.0,355.95,1664.9,0.077,6100.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,1174140,Gifford Pinchot National Forest,46.14,-122.25,,6.0,2005.0,0.282,3.361,111.23,0.552,656.5,2350.7,0.163,2800.0,-0.659,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,usnlap,56_GYP_2011,,43.226,-109.984,,14.0,2011.0,,,,1.42,,,0.106,7903.0,,Vainio,Beard lichen,,usnlap,Usnea lapponica
Platismatia glauca,plagla,1162148,Gifford Pinchot National Forest,45.85,-122.11,,6.0,1996.0,1.1,3.16,372.6,0.54,572.0,1808.0,0.066,3500.0,-0.463,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,claran,TrapLakeC,Superior National Forest,48.016,-90.368,,89.0,1997.0,0.4,2.1,38.0,,875.0,2186.0,0.056,1400.0,,(L.) Nyl.,Reindeer lichen,sensitive,,
Sphaerophorus globosus,sphglo,TNF507A,Tongass N.F.,58.822,-135.703,Endicott River  Wilderness,10.0,2005.0,0.513,1.212,73.311,0.381,556.32,1557.0,0.031,252.0,-0.639,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
Letharia vulpina,letvul,56_MULL_2011,,42.995,-109.768,,14.0,2011.0,,,,1.42,,,0.106,8901.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Letharia vulpina,letvul,1084180,Deschutes National Forest,43.92,-121.6,,6.0,1994.0,,,,,,,0.046,4900.0,-1.213,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,MTHW25,Mt. Hood National Forest,45.402,-121.791,Mount Hood Wilderness,6.0,1993.0,2.5,1.5,41.0,,0.0,0.0,,3000.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,letcol,1070204,Deschutes National Forest,43.57,-121.2,,6.0,2004.0,0.841,2.122,62.93,0.895,530.3,1946.2,0.058,5400.0,-0.701,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
Lobaria oregana,lobore,CHUG12,Chugach N.F.,60.449,-145.125,,10.0,1993.0,,,,,,,0.13,15.0,,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
,orchard1027,,,,,,6.0,2009.0,,,,0.16,,,0.16,,,,,,,
Sphaerophorus globosus,sphglo,1086140,Willamette National Forest,43.97,-122.28,,6.0,1996.0,1.12,2.64,447.0,0.54,781.0,1653.0,0.05,4400.0,-0.578,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
Letharia vulpina,letvul,1026172,Fremont-Winema National Forests,42.49,-121.76,,6.0,1999.0,0.54,4.08,217.64,0.54,909.4,2860.2,0.053,4900.0,0.156,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Letharia vulpina,letvul,1050180,Fremont-Winema National Forests,43.08,-121.61,,6.0,2010.0,0.427,1.179,120.76,,463.69,2065.2,0.064,4900.0,-0.754,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,1074148,Willamette National Forest,43.68,-122.14,,6.0,1995.0,0.3,5.8,74.2,0.47,368.0,1796.0,0.052,4600.0,-0.487,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Hypogymnia inactiva,hypina,HorseRk3,BLM Public Domain Land,44.3,-122.88,,6.0,2001.0,2.235,3.25,66.708,0.643,769.44,2375.4,0.087,2800.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,alesarwil,,,,,,10.0,2005.0,0.295,1.076,219.99,,424.19,1629.0,0.053,,,,,,,
Alectoria sarmentosa,alesar,1092148,Willamette National Forest,44.12,-122.14,,6.0,1995.0,0.4,2.9,318.1,0.28,532.0,1640.0,0.024,4600.0,-0.32,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1034152,Fremont-Winema National Forests,42.69,-122.09,,6.0,2000.0,0.592,1.164,215.27,0.464,743.35,2273.0,0.053,4800.0,-0.461,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,cetoak,Monong086A,Monongahela National Forest,39.02,-79.37,Dolly Sods Wilderness,89.0,1987.0,6.899,9.054,264.0,,697.4,3224.0,0.1,3883.0,,,,,cetoak,Cetraria oakesiana
Alectoria sarmentosa,alesar,TNF506B,Tongass N.F.,58.789,-135.4,Endicott River  Wilderness,10.0,2011.0,0.08,1.13,19.92,0.525,327.83,1515.6,0.038,46.0,-0.42,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1020152,Fremont-Winema National Forests,42.35,-122.1,Mountain Lakes Wilderness,6.0,2003.0,0.839,1.203,145.67,0.62,574.15,1941.6,0.05,6100.0,-0.671,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,TNF552,Tongass N.F.,,,Misty Fjords Wilderness,10.0,2009.0,,,,0.629,,,0.052,,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,peach1547,,,,,,89.0,1993.0,1.9,2.9,691.5,,1191.0,3728.0,,,,,,,,
Alectoria sarmentosa,alesar,1196180,Gifford Pinchot National Forest,46.68,-121.53,,6.0,1994.0,0.3,5.2,51.9,0.41,362.0,1574.0,0.05,2700.0,-0.392,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1038148,Willamette National Forest,43.79,-122.16,,6.0,2000.0,1.178,1.024,281.38,0.508,709.14,2310.8,0.049,6400.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,1064124,Umpqua National Forest,43.43,-122.55,,6.0,2009.0,0.478,2.238,150.73,0.509,904.8,1928.0,0.036,2600.0,-0.458,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,MTHW24,Mt. Hood National Forest,45.382,-121.836,Mount Hood Wilderness,6.0,1993.0,4.9,1.5,80.0,,0.0,0.0,,2360.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,usnsub,HighcockKnobA,George Washington and Jefferson National Forest,37.562,-79.452,James River Face Wilderness,89.0,1987.0,,,,,,,0.15,2435.0,,,,,,
Letharia vulpina,letvul,1080200,Deschutes National Forest,43.82,-121.26,,6.0,1995.0,1.3,2.2,30.6,0.85,575.0,2002.0,0.078,5700.0,-0.694,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,flacap,Monong154A,Monongahela National Forest,38.987,-79.637,Otter Creek Wilderness,89.0,1987.0,2.699,9.295,207.7,,744.4,2128.0,0.118,2897.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,aleims,1052156,Fremont-Winema National Forests,43.14,-122.02,Mount Thielsen Wilderness,6.0,1997.0,1,1.12,91.92,0.212,314.4,947.8,0.021,6400.0,-0.453,Brodo & D. Hawksw.,,sensitive,aleims,Alectoria imshaugii
,flacap,Monong135A,Monongahela National Forest,38.997,-79.357,Dolly Sods Wilderness,89.0,1987.0,1.953,5.138,498.9,,1932.0,4859.0,0.118,3199.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,bcr482,,,,,,6.0,2009.0,,,,,,,0.182,,,,,,,
,alesarwil,,,,,,6.0,2006.0,,,,0.491,,,0.04,,,,,,,
,xancum,Pitts0,Wallowa-Whitman National Forest,45.629,-116.472,,6.0,2010.0,,,,1.39,,,,1145.0,2.443,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
Alectoria sarmentosa,alesar,MTHW10,Mt. Hood National Forest,45.388,-121.793,Mount Hood Wilderness,6.0,1993.0,0.5,1.2,53.7,0.39,784.0,2311.0,0.042,3000.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,rlv,,,,,,10.0,2009.0,,,,2.22,,,0.14,,,,,,,
Hypogymnia inactiva,hypina,BRun520,Mt. Hood National Forest,45.438,-122.114,,6.0,2000.0,0.87,4.061,167.04,0.524,755.41,2111.8,0.06,1600.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Letharia vulpina,letvul,1270240,Okanogan-Wenatchee National Forest,48.47,-120.36,Lake Chelan-Sawtooth Wilderness,6.0,2011.0,0.35,1.61,109.27,0.801,1387.4,3237.4,0.055,3800.0,0.141,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Hypogymnia inactiva,hypina,HJA509,Willamette National Forest,44.239,-122.25,,6.0,2000.0,2.36,2.873,557.67,0.357,952.7,2137.5,0.052,2110.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Platismatia glauca,plagla,1132148,Mt. Hood National Forest,45.11,-122.12,,6.0,2005.0,1.331,2.517,351.95,0.328,438.34,1682.2,0.036,4100.0,0.032,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1164176,Gifford Pinchot National Forest,45.89,-121.62,,6.0,2005.0,1.208,8.694,252.42,0.718,976.09,2818.0,0.102,2500.0,0.314,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,evepru,ARM154,Columbia River Gorge National Scenic Area,45.543,-122.37,,6.0,2004.0,2.313,7.107,99.378,1.42,1673.3,6585.5,0.127,30.0,0.899,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
Platismatia glauca,plagla,1132168,Mt. Hood National Forest,45.1,-121.78,,6.0,2005.0,1.721,3.991,616.41,0.592,815.95,2029.6,0.073,3200.0,-0.644,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,1082184,Deschutes National Forest,43.87,-121.53,,6.0,2005.0,0.43,2.323,81.987,0.749,456.68,2542.2,0.042,4500.0,-0.762,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,orchard0.197,,,,,,6.0,1998.0,,,,,,,0.197,,,,,,,
,umbvel,Bridgr1B,Bridger-Teton National Forest,43.035,-109.673,Bridger Wilderness,14.0,1991.0,1.84,4.7,28.0,,,5500.0,0.18,,,(L.) Hoffm.,Frosted rocktripe,intermediate,umbvel,Umbilicaria vellea
Alectoria sarmentosa,alesar,TNF515A,Tongass N.F.,54.922,-132.363,South Prince of Wales Wilderness,10.0,2005.0,0.28,0.663,30.102,0.366,216.19,1085.0,0.031,5.0,-1.078,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
