Name,Code for scientific name and authority in lookup table,Plot number,National Forest or other area,Latitude (decimal degrees),Longitude (decimal degrees),Wilderness Area,Region,Year of tissue collection,Chromium (ppm dw),Copper (ppm dw),Managanese (ppm dw),Nitrogen (% dw),Phosphorous (ppm dw),Potassium (ppm dw),Sulfur (% dw),Elevation (ft),Air pollution score,Taxonomic authority,Common name,AQ Rating,codename,sci_name
Alectoria sarmentosa,alesar,1078144,Willamette National Forest,43.78,-122.21,,6.0,2004.0,0.42,0.934,222.56,0.327,895.29,1944.9,0.025,3000.0,-0.201,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,letcol,1076196,Deschutes National Forest,43.72,-121.33,,6.0,1996.0,0.88,1.82,82.4,0.7,614.0,2248.0,0.07,5500.0,-0.619,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
Hypogymnia inactiva,hypina,1086128,Willamette National Forest,43.98,-122.48,,6.0,1996.0,2.3,3.56,558.9,0.54,1562.0,3002.0,0.057,1800.0,-0.235,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,letcol,1074220,Deschutes National Forest,43.66,-120.92,,6.0,1995.0,,,,0.77,,,,5000.0,-0.408,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
,flacap,Monong027B,Monongahela National Forest,39.015,-79.639,Otter Creek Wilderness,89.0,1992.0,,9.477,108.983,1.76,671.33,3200.86,0.18,3219.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,flacap,FridleyGap44,George Washington and Jefferson National Forest,38.487,-78.702,,89.0,1995.0,,,,1.62,,,0.15,2213.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Alectoria sarmentosa,alesar,1074156,Willamette National Forest,43.68,-122.01,,6.0,2005.0,0.28,2.918,277.13,,320.08,1747.2,,5800.0,-0.196,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,1052140,Umpqua National Forest,43.14,-122.29,,6.0,2010.0,0.383,0.73,469.14,0.53,588.2,1854.6,0.042,6100.0,-0.582,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,1134160,Mt. Hood National Forest,45.15,-121.91,Roaring River Wilderness,6.0,2005.0,1.477,3.079,213.27,0.368,402.85,1671.5,0.055,4400.0,-0.206,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,evepru,ARM102,Columbia River Gorge National Scenic Area,45.706,-121.277,,6.0,1994.0,1.4,13.0,80.0,1.04,1239.0,3184.0,0.107,200.0,1.405,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
,claran,LowsBaldSpotB,White Mountain National Forest,44.283,-71.233,,89.0,1993.0,0.2,1.5,31.4,,319.0,1407.0,0.055,1550.0,,(L.) Nyl.,Reindeer lichen,sensitive,,
Letharia vulpina,letvul,1036204,Fremont-Winema National Forests,42.73,-121.22,,6.0,1999.0,1.06,3.76,86.98,0.675,491.36,2285.0,0.054,5100.0,-0.506,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,1038108,Umpqua National Forest,42.79,-122.83,,6.0,1998.0,2.8,3.3,358.4,0.385,756.1,1944.0,0.053,2900.0,-0.096,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,evepru,ARM172,Columbia River Gorge National Scenic Area,45.694,-121.351,,6.0,2009.0,1.267,7.439,49.57,1.381,754.26,2661.9,0.111,530.0,1.796,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
,xanchl,FlaGor01,Ashley National Forest,41.004,-109.637,,14.0,2010.0,2.64,3.07,11.59,0.63,400.0,900.0,0.02,,,(Tuck.) Hale,,,xanchl,Xanthoparmelia chlorochroa
Letharia vulpina,letvul,Onion2,Stevens County,48.851,-117.834,,6.0,2003.0,1.342,2.2,30.555,0.77,635.43,2627.3,0.07,1820.0,0.352,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Hypogymnia imshaugii,hypims,MaloneB,Fremont-Winema National Forests,42.531,-122.085,,6.0,2003.0,0.857,2.739,103.68,1.24,1737.4,3504.0,0.08,4200.0,0.991,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
Alectoria sarmentosa,alesar,1166168,Gifford Pinchot National Forest,45.94,-121.76,,6.0,1996.0,0.42,1.54,282.9,0.41,727.0,2080.0,0.046,3100.0,-0.397,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1148416,Wallowa-Whitman National Forest,45.37,-117.44,Eagle Cap Wilderness,6.0,2000.0,1.048,1.459,364.41,0.501,878.83,2765.1,0.07,6400.0,-0.16,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,letcol,1044184,Fremont-Winema National Forests,42.93,-121.55,,6.0,2000.0,1.295,2.219,58.929,0.774,884.75,2760.3,0.062,4600.0,-0.574,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
,umbpus,BalconyFallsA,George Washington and Jefferson National Forest,37.614,-79.448,James River Face Wilderness,89.0,1987.0,,,,,,,0.28,1878.0,,,,,umbpus,Umbilicaria pustulata
Platismatia glauca,plagla,1140152,Mt. Hood National Forest,45.3,-122.05,,6.0,2004.0,1.065,2.611,73.085,0.458,497.86,1565.0,0.053,3600.0,-0.268,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,NC-4D,Deschutes National Forest,43.734,-121.277,,6.0,1996.0,0.52,1.48,121.3,0.54,366.0,1718.0,0.057,6520.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,MTHW03,Mt. Hood National Forest,45.333,-121.746,Mount Hood Wilderness,6.0,1993.0,0.3,0.9,43.2,0.34,270.0,1373.0,0.049,4960.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,flacap,Skidmore79,George Washington and Jefferson National Forest,38.541,-79.179,,89.0,1995.0,,,,1.8,,,0.16,2414.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Letharia vulpina,letvul,1038188,Fremont-Winema National Forests,42.78,-121.49,,6.0,1999.0,0.58,5.6,80.94,0.691,561.3,2467.2,0.051,4700.0,-0.777,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Sphaerophorus globosus,sphglo,1082152,Willamette National Forest,43.87,-122.07,Waldo Lake Wilderness,6.0,1997.0,0.38,2.98,53.0,0.371,731.5,1592.0,0.037,2900.0,-0.554,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
shrubby Usnea,usnea,1140048,Siuslaw National Forest,45.3,-123.86,,6.0,1997.0,0.64,5.86,123.1,0.246,553.4,2548.0,0.047,700.0,-0.128,,Beard lichen,,,shrubby Usnea
,alesarmth,,,,,,6.0,2000.0,0.36,1.149,91.448,0.37,427.86,1522.1,0.041,,,,,,,
Platismatia glauca,plagla,Pack102,Pack Experimental Forest,46.877,-122.312,,6.0,1999.0,0.885,3.31,42.846,0.613,722.42,3117.7,0.085,600.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia enteromorpha,hypent,GLBA_BC1A,Glacier Bay National Park,58.457,-135.866,,10.0,2008.0,0.772,3.033,62.311,0.746,996.53,2712.9,0.072,12.0,-0.916,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
,alesarwil,,,,,,6.0,2004.0,,,,0.356,,,0.036,,,,,,,
Hypogymnia imshaugii,hypims,1152404,Wallowa-Whitman National Forest,45.48,-117.64,Eagle Cap Wilderness,6.0,1998.0,2.4,4.42,106.3,0.847,1024.0,3046.0,0.084,5200.0,0.179,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
Platismatia glauca,plagla,1058140,Umpqua National Forest,43.28,-122.28,,6.0,1998.0,3.14,3.42,221.3,0.305,739.1,1531.0,0.054,4800.0,-0.778,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,TNF114,Tongass N.F.,58.778,-135.032,,10.0,1990.0,,,,,,,0.025,79.0,-1.068,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,flacap,StMarys118,George Washington and Jefferson National Forest,37.937,-79.052,Saint Mary's Wilderness,89.0,1995.0,,,,1.3,,,0.11,3218.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,flacap,Monong057A,Monongahela National Forest,38.98,-79.64,Otter Creek Wilderness,89.0,1987.0,2.842,5.001,111.4,,874.7,3239.0,0.109,3038.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Hypogymnia imshaugii,hypims,1144184,Mt. Hood National Forest,45.4,-121.49,,6.0,2004.0,0.982,4.095,245.12,0.652,1125.9,2410.1,0.049,4700.0,0.013,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
Platismatia glauca,plagla,CRG27,Columbia River Gorge National Scenic Area,45.744,-121.537,,6.0,2009.0,1.1,5.521,46.432,1.139,1434.7,3786.0,0.066,600.0,0.461,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1092164,Willamette National Forest,44.12,-121.86,Three Sisters Wilderness,6.0,1996.0,0.54,1.2,506.9,0.32,642.0,1715.0,0.027,6300.0,-0.639,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,HR67,Kodiak,57.804,-152.37,,10.0,2009.0,,,,0.917,,,0.086,,-0.449,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,TNF491B,Tongass N.F.,57.602,-133.398,Chuck River Wilderness,10.0,2011.0,0.03,0.73,38.22,0.495,495.06,1489.9,0.029,120.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Bryoria fremontii,bryfre,1080156,Willamette National Forest,43.82,-122.01,Three Sisters Wilderness,6.0,1997.0,0.46,11.48,337.0,0.201,931.5,2237.0,0.041,5200.0,-0.058,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
,flacap,Monong151A,Monongahela National Forest,39.004,-79.668,Otter Creek Wilderness,89.0,1987.0,2.757,8.142,72.12,,607.1,2284.0,0.13,3259.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Lobaria oregana,lobore,1174140,Gifford Pinchot National Forest,46.14,-122.25,,6.0,1996.0,0.58,6.26,55.34,2.11,2293.0,6796.0,0.107,2800.0,-0.42,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Hypogymnia inactiva,hypina,1072144,Willamette National Forest,43.63,-122.21,,6.0,2005.0,3.044,6.306,153.16,0.378,923.49,2989.7,0.058,3300.0,-0.134,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Hypogymnia inactiva,hypina,ARM141,Columbia River Gorge National Scenic Area,45.603,-122.105,,6.0,2004.0,1.824,7.892,81.733,1.56,1332.0,3997.6,0.125,280.0,0.604,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,orchard 1031,,,,,,6.0,2012.0,,,,2.4,,,0.168,,,,,,,
,flacap,LocustSpring174,George Washington and Jefferson National Forest,38.568,-79.624,,89.0,1995.0,,,,1.3,,,0.13,3822.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,flacap,LocustSpring174,George Washington and Jefferson National Forest,38.568,-79.624,,89.0,1995.0,,,,1.2,,,0.13,3822.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Hypogymnia enteromorpha,hypent,CRG73B,Columbia River Gorge National Scenic Area,45.739,-121.878,,6.0,1998.0,1.18,4.48,124.0,0.502,673.7,2074.0,0.072,2000.0,,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
,evepru,Kelsey1,Seattle,47.606,-122.164,,6.0,2000.0,1,8.52,159.28,1.2,780.28,2528.2,0.145,60.0,0.939,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
Hypogymnia enteromorpha,hypent,1130152A,Mt. Hood National Forest,45.06,-122.05,,6.0,1997.0,1.58,4.0,420.3,,1255.0,2432.0,,1600.0,-0.187,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
Platismatia glauca,plagla,1168176SB,Gifford Pinchot National Forest,45.99,-121.61,,6.0,1996.0,1.2,3.36,150.2,0.54,994.0,2447.0,0.07,3400.0,0.142,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,tobacco1008,,,,,,10.0,2005.0,,,,,,,0.602,,,,,,,
Letharia vulpina,letvul,1076180,Deschutes National Forest,43.72,-121.6,,6.0,2005.0,0.582,3.419,71.215,0.929,754.54,2992.6,0.122,5000.0,-0.536,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Hypogymnia inactiva,hypina,1160152,Gifford Pinchot National Forest,45.8,-122.04,,6.0,1996.0,2.42,5.8,215.1,0.78,928.0,3021.0,0.089,2800.0,0.08,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Letharia vulpina,letvul,Salmon47-2,Salmon-Challis National Forest,44.465,-114.735,,14.0,1995.0,3.2,1.19,278.0,,514.0,2030.0,0.039,,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Letharia vulpina,letvul,NCL-1,Deschutes National Forest,43.712,-121.275,,6.0,1994.0,,,,,,,0.05,6350.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,peach1547,,,,,,6.0,2010.0,,,,,,,0.227,,,,,,,
,blank,,,,,,10.0,2005.0,0.28,0.34,0.06,,7.4,10.391,,,,,,,,
Alectoria sarmentosa,alesar,1174168SB,Gifford Pinchot National Forest,46.14,-121.75,,6.0,1996.0,,,,,,,0.032,3400.0,-0.277,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,alesarmth,,,,,,6.0,2000.0,,,,,,,0.047,,,,,,,
Hypogymnia imshaugii,hypims,1008040,Rogue River-Siskiyou National Forests,42.05,-123.95,Kalmiopsis Wilderness,6.0,2012.0,,,,0.599,,,0.049,1901.0,0.199,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
Platismatia glauca,plagla,1088164,Willamette National Forest,44.02,-121.87,Three Sisters Wilderness,6.0,1995.0,1.5,8.7,411.3,0.34,673.0,1466.0,0.04,5600.0,-0.549,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
